HBName,DailyPositive,CumulativePositive,datevar,rna_value,weekday,day,NHS_Borders,NHS_Dumfries_and_Galloway,NHS_Fife,NHS_Forth_Valley,NHS_Grampian,NHS_Greater_Glasgow_and_Clyde,NHS_Highland,NHS_Lanarkshire,NHS_Lothian,NHS_Orkney,NHS_Shetland,NHS_Tayside,NHS_Western_Isles
NHS Fife,1,975,19-Aug-20,0,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1113,19-Aug-20,0,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,8,1872,19-Aug-20,6587,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,19,5199,19-Aug-20,658,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,1,401,19-Aug-20,0,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,7,2858,19-Aug-20,0,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,3,3258,19-Aug-20,0,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,19-Aug-20,5820,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,19-Aug-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,48,1944,19-Aug-20,9918,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,19-Aug-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,4,1308,20-Aug-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,3,346,20-Aug-20,0,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,312,20-Aug-20,0,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,4,979,20-Aug-20,0,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,1,1114,20-Aug-20,0,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,8,1880,20-Aug-20,6587,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,22,5221,20-Aug-20,658,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,5,406,20-Aug-20,0,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,10,2868,20-Aug-20,0,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,9,3267,20-Aug-20,0,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,20-Aug-20,36871,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,20-Aug-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,74,2018,20-Aug-20,9918,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,20-Aug-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,3,1311,21-Aug-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,346,21-Aug-20,0,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,312,21-Aug-20,0,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,5,984,21-Aug-20,1960.945873,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,2,1116,21-Aug-20,0,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,4,1884,21-Aug-20,7891,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,21,5242,21-Aug-20,0,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,406,21-Aug-20,658,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,10,2878,21-Aug-20,0,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,10,3277,21-Aug-20,0,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,21-Aug-20,36871,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,21-Aug-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,35,2053,21-Aug-20,9918,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,21-Aug-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,0,1311,22-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,3,349,22-Aug-20,0,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,313,22-Aug-20,0,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,0,984,22-Aug-20,1960.945873,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1116,22-Aug-20,0,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,6,1890,22-Aug-20,7891,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,10,5252,22-Aug-20,0,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,406,22-Aug-20,0,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,5,2883,22-Aug-20,0,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,9,3286,22-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,22-Aug-20,36871,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,22-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,13,2066,22-Aug-20,9918,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,22-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,3,1314,23-Aug-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,3,352,23-Aug-20,0,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,313,23-Aug-20,0,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,1,985,23-Aug-20,1960.945873,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,4,1120,23-Aug-20,0,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,3,1893,23-Aug-20,7891,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,11,5263,23-Aug-20,0,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,1,407,23-Aug-20,0,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,12,2895,23-Aug-20,0,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,15,3301,23-Aug-20,0,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,23-Aug-20,36871,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,23-Aug-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,12,2078,23-Aug-20,9918,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,23-Aug-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,0,1314,24-Aug-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,352,24-Aug-20,0,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,314,24-Aug-20,0,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,0,985,24-Aug-20,2987,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
